Fecha de retiro, Nro. de voucher, Nro. de dominio, Nro. de registro origen, Descripcion de registro origen, Nro. de registro destino, Descripcion de registro destino
2012-11-13 00:00:00.000,02811347,HYJ401  ,01003,ARRECIFES,01182,SAN NICOLAS NRO. 2
2012-11-13 00:00:00.000,02811350,UWJ128  ,01003,ARRECIFES,21073,VILLA GOBERNADOR GALVEZ
2012-11-13 00:00:00.000,02811345,VVS865  ,01003,ARRECIFES,01217,RAMALLO
2012-11-13 00:00:00.000,02870603,EYJ834  ,01003,ARRECIFES,01129,CAPITAN SARMIENTO
2012-11-13 00:00:00.000,02870602,DFT871  ,01003,ARRECIFES,01129,CAPITAN SARMIENTO
2012-11-13 00:00:00.000,02811342,GQH064  ,01003,ARRECIFES,01129,CAPITAN SARMIENTO
2012-11-13 00:00:00.000,02811348,SVM080  ,01003,ARRECIFES,01093,SAN PEDRO
2012-11-13 00:00:00.000,02811346,XJI893  ,01003,ARRECIFES,01093,SAN PEDRO
2012-11-13 00:00:00.000,02811343,UMF939  ,01003,ARRECIFES,01262,PERGAMINO NRO. 3
2012-11-15 00:00:00.000,02811344,CKD990  ,01003,ARRECIFES,02010,CAPITAL FEDERAL NRO. 10
2012-11-15 00:00:00.000,02870604,RSW423  ,01003,ARRECIFES,02027,CAPITAL FEDERAL NRO. 27
2012-11-15 00:00:00.000,02811349,THN984  ,01003,ARRECIFES,01171,ESCOBAR NRO. 1
2012-11-15 00:00:00.000,02870605,FQK480  ,01003,ARRECIFES,02023,CAPITAL FEDERAL NRO. 23
2012-11-16 00:00:00.000,02870601,FAT560  ,01003,ARRECIFES,01083,SALTO
2012-11-01 00:00:00.000,02239980,COG196  ,01005,AVELLANEDA NRO. 2,01237,LOMAS DE ZAMORA NRO. 7
2012-11-01 00:00:00.000,02239971,DIY713  ,01005,AVELLANEDA NRO. 2,01230,ESCOBAR NRO. 2
2012-11-01 00:00:00.000,02239962,HSR228  ,01005,AVELLANEDA NRO. 2,01001,ADROGUE NRO. 1
